vacancy_id,section_id,section_title,section_body
38487280,1,ключевой задача,администрирование настройка Linux система RHEL CentOS Debian
38487280,1,ключевой задача,администрирование HTTP сервер Nginx Apache HTTP Server
38487280,1,ключевой задача,написание работа SQL запрос PostgreSQL MySQL
38487280,1,ключевой задача,администрирование сервер приложение PHP FPM PHP Node.Js Redis RabbitMQ
38487280,1,ключевой задача,опыт работа система контроль версия Oit
38487280,1,ключевой задача,мониторинг доступность производительность создание проверка система мониторинг Zabbix
38487280,1,ключевой задача,автоматизация задача скриптовый язык Bash sh
38487280,2,важный,знание Linux система уровень администратор RHEL CentOS
38487280,2,важный,опыт построение непрерывный интеграция доставка CI CD
38487280,2,важный,опыт поддержка прикладной система PHP FPM PHP Node.Js Redis Nginx
38487280,2,важный,умение писать запрос работать субд PostgreSQL MySQL
38487280,2,важный,умение писать скриптовый язык Bash sh
38487280,2,важный,умение читать технический литература английский язык
38487280,2,важный,базовый знание Windows
38487280,3,плюс,знание Agile подход
38487280,3,плюс,опыт написание скрипт язык Python
38487280,3,плюс,администрирование опыт работа Apache ActiveMQ Tomcat
38487280,3,плюс,умение читать код
38487280,4,предлагать,реализовать свой потенциал создание развитие современный ит решение точно скучный
38487280,4,предлагать,конкурентный условие оплата труд фиксировать доход обсуждать результат собеседование годовой
38487280,4,предлагать,возможность карьерный профессиональный рост
38487280,4,предлагать,дмс прохождение испытательный срок
38487280,4,предлагать,корпоративный обучение
38487280,4,предлагать,оформление согласно тк рф
38487280,4,предлагать,возможность удалить работа
38487280,4,предлагать,специальный предложение финансовый продукт компания скидка партнер
38487280,4,предлагать,график работа 5 2 пн чт 9 00 18 00 пт 9 00
38487280,4,предлагать,офис экологически чистый район рядом гребной канал зеленый зона рождение
38487280,4,предлагать,корпоративный транспорт метро полежаевский кунцевский
38802856,0,,сеть связный это множество бизнес проект процесс обеспечивать клиент удобство
38802856,1,каждый процесс компания иметь свой,продажа товар сима карта платеж денежный перевод
38802856,1,каждый процесс компания иметь свой,заказ интернет магазин
38802856,1,каждый процесс компания иметь свой,кредитный заявка
38802856,1,каждый процесс компания иметь свой,работа склад
38802856,1,каждый процесс компания иметь свой,логистика
38802856,1,каждый процесс компания иметь свой,клиентский аналитик весь бизнес домен включая лояльность
38802856,1,каждый процесс компания иметь свой,услуга связный трэвел многое
38802856,2,1 отладить процесс разработка,постановка ведение задача Jira
38802856,2,1 отладить процесс разработка,изменение вести система контроль версия Oit использование Bitbucket
38802856,2,1 отладить процесс разработка,использование flyway накат изменение бд весь этап dev prod
38802856,2,1 отладить процесс разработка,code review
38802856,2,1 отладить процесс разработка,code Сtрал
